"yearID","franchID","lgID","Home_Games","Away_Games","Home_Win_Per","Away_Win_Per","Total_Win_Per","Per_Wins_at_Home","Per_Wins_Away","Per_Losses_at_Home","Per_Losses_Away","Previous_Season_Total_Win_Per","Previous_Home_Win_Per","FP","RS","RA","HA_per_HG","HA_per_AG","HRA_per_HG","HRA_per_AG","H_per_HG","H_per_AG","HR_per_HG","HR_per_AG","RA_per_HG","RA_per_AG","RS_per_HG","RS_per_AG","P_per_HG","P_per_AG","SO_per_HG","SO_per_AG","SOP_per_HG","SOP_per_AG","BB_per_HG","BB_per_AG","BBP_per_HG","BBP_per_AG","RNS_per_HG","RNS_per_AG","RNSP_per_HG","RNSP_per_AG","X3B_per_HG","X3B_per_AG","X3P_per_HG","X3P_per_AG","Run_Dif_HG","Run_Dif_AG","Hit_Dif_HG","Hit_Dif_AG","HR_Dif_HG","HR_dif_AG","SO_Dif_HG","SO_Dif_AG","BB_Dif_HG","BB_Dif_AG","RNS_Dif_HG","RNS_Dif_AG","Trip_Dif_HG","Trip_Dif_AG"
1920,"BOS","AL",76,78,0.539473684210526,0.397435897435897,0.467532467532468,0.569444444444444,0.430555555555556,0.432098765432099,0.567901234567901,0.478260869565217,0.53030303030303,0.972,650,698,9.23684210526316,10.0769230769231,0.184210526315789,0.320512820512821,9.42105263157895,8.73076923076923,0.0394736842105263,0.243589743589744,3.94736842105263,5.1025641025641,4.30263157894737,4.14102564102564,1.44736842105263,1.53846153846154,2.60526315789474,2.96153846153846,3.28947368421053,2.94871794871795,3.22368421052632,3.67948717948718,2.85526315789474,3.19230769230769,7.43421052631579,7.34615384615385,7.03947368421053,6.91025641025641,0.460526315789474,0.461538461538462,0.328947368421053,0.5,0.35526315789474,-0.961538461538461,0.184210526315791,-1.34615384615387,-0.144736842105263,-0.076923076923077,0.684210526315789,-0.0128205128205128,0.368421052631579,0.487179487179487,-0.394736842105263,-0.435897435897435,0.131578947368421,-0.0384615384615384
1920,"LAD","NL",78,77,0.628205128205128,0.571428571428571,0.6,0.526881720430108,0.473118279569892,0.475409836065574,0.524590163934426,0.48936170212766,0.514285714285714,0.966,660,528,9.15384615384615,8.66233766233766,0.179487179487179,0.142857142857143,9.85897435897436,9.4025974025974,0.217948717948718,0.142857142857143,3.73076923076923,3.07792207792208,4.61538461538461,3.8961038961039,1.70512820512821,1.49350649350649,2.34615384615385,2.7012987012987,3.75641025641026,3.36363636363636,2.28205128205128,2.35064935064935,2.05128205128205,2.16883116883117,6.82051282051282,7.02597402597403,6.69230769230769,6.75324675324675,0.782051282051282,0.493506493506494,0.538461538461538,0.38961038961039,0.88461538461538,0.81818181818182,0.70512820512821,0.740259740259742,0.038461538461539,0,1.41025641025641,0.662337662337662,0.230769230769231,0.181818181818182,-0.128205128205128,-0.272727272727273,0.243589743589744,0.103896103896104
1920,"ATL","NL",74,79,0.486486486486487,0.329113924050633,0.405228758169935,0.580645161290323,0.419354838709677,0.411111111111111,0.588888888888889,0.407142857142857,0.426470588235294,0.964,523,670,9.17567567567568,9.93670886075949,0.148648648648649,0.354430379746835,8.82432432432432,8.92405063291139,0.0675675675675676,0.227848101265823,3.94594594594595,4.78481012658228,3.66216216216216,3.18987341772152,1.45945945945946,1.49367088607595,2.94594594594595,3.41772151898734,2.39189189189189,2.41772151898734,2.97297297297297,2.10126582278481,2.74324324324324,2.68354430379747,7.10810810810811,6.84810126582278,6.72972972972973,6.77215189873418,0.716216216216216,0.417721518987342,0.648648648648649,0.506329113924051,-0.28378378378379,-1.59493670886076,-0.351351351351362,-1.0126582278481,-0.0810810810810814,-0.126582278481012,-0.554054054054054,-1,0.229729729729729,-0.582278481012658,-0.378378378378378,-0.075949367088608,0.0675675675675675,-0.0886075949367089
1920,"CHW","AL",77,77,0.675324675324675,0.571428571428571,0.623376623376623,0.541666666666667,0.458333333333333,0.431034482758621,0.568965517241379,0.628571428571429,0.685714285714286,0.969,794,665,9.09090909090909,9.90909090909091,0.12987012987013,0.454545454545455,9.85714285714286,10.5844155844156,0.233766233766234,0.246753246753247,3.87012987012987,4.75324675324675,4.94805194805195,5.36363636363636,1.35064935064935,1.50649350649351,2.02597402597403,2.54545454545455,3.1038961038961,2.63636363636364,3.09090909090909,3.05194805194805,2.72727272727273,2.5974025974026,7.15584415584416,7.50649350649351,7.41558441558442,6.64935064935065,0.753246753246753,0.519480519480519,0.558441558441558,0.493506493506494,1.07792207792208,0.61038961038961,0.766233766233769,0.67532467532469,0.103896103896104,-0.207792207792208,1.07792207792208,0.0909090909090908,0.363636363636364,0.454545454545455,0.25974025974026,-0.857142857142857,0.194805194805195,0.0259740259740259
1920,"CHC","NL",77,77,0.558441558441558,0.415584415584416,0.487012987012987,0.573333333333333,0.426666666666667,0.430379746835443,0.569620253164557,0.535714285714286,0.563380281690141,0.965,619,635,9.64935064935065,9.41558441558442,0.194805194805195,0.285714285714286,8.80519480519481,8.72727272727273,0.246753246753247,0.194805194805195,3.92207792207792,4.32467532467532,4.18181818181818,3.85714285714286,1.49350649350649,1.71428571428571,2.93506493506493,2.53246753246753,3.61038961038961,2.98701298701299,2.83116883116883,2.72727272727273,2.41558441558442,2.54545454545455,6.74025974025974,6.42857142857143,6.98701298701299,6.77922077922078,0.337662337662338,0.532467532467532,0.493506493506494,0.766233766233766,0.25974025974026,-0.46753246753246,-0.844155844155839,-0.688311688311689,0.051948051948052,-0.090909090909091,0.675324675324676,0.454545454545455,0.415584415584415,0.181818181818182,0.246753246753246,0.35064935064935,-0.155844155844156,-0.233766233766234
1920,"CIN","NL",77,77,0.545454545454545,0.519480519480519,0.532467532467532,0.51219512195122,0.48780487804878,0.47887323943662,0.52112676056338,0.685714285714286,0.728571428571429,0.968,639,569,8.53246753246753,8.7012987012987,0.012987012987013,0.324675324675325,8.75324675324675,9.84415584415584,0.0649350649350649,0.168831168831169,3.09090909090909,4.2987012987013,3.64935064935065,4.64935064935065,1.50649350649351,1.55844155844156,2.18181818181818,2.58441558441558,2.53246753246753,3.07792207792208,2.45454545454545,2.50649350649351,2.4025974025974,2.7012987012987,6.2987012987013,6.71428571428571,6.72727272727273,6.49350649350649,0.480519480519481,0.506493506493506,0.623376623376623,0.480519480519481,0.55844155844156,0.35064935064935,0.220779220779219,1.14285714285714,0.0519480519480519,-0.155844155844156,0.350649350649351,0.493506493506493,0.051948051948052,-0.194805194805195,0.428571428571429,-0.220779220779221,-0.142857142857143,0.0259740259740259
1920,"CLE","AL",78,76,0.653846153846154,0.618421052631579,0.636363636363636,0.520408163265306,0.479591836734694,0.482142857142857,0.517857142857143,0.60431654676259,0.63768115942029,0.971,857,642,9.33333333333333,9.27631578947368,0.128205128205128,0.276315789473684,10.3205128205128,10.1315789473684,0.256410256410256,0.197368421052632,4.23076923076923,4.10526315789474,5.64102564102564,5.47368421052632,1.67948717948718,1.61842105263158,2.26923076923077,2.68421052631579,3.3974358974359,2.71052631578947,3.80769230769231,3.72368421052632,2.87179487179487,2.39473684210526,7.30769230769231,7.80263157894737,7.08974358974359,6.72368421052632,0.487179487179487,0.75,0.269230769230769,0.381578947368421,1.41025641025641,1.36842105263158,0.987179487179469,0.85526315789472,0.128205128205128,-0.078947368421052,1.12820512820513,0.0263157894736845,0.935897435897436,1.32894736842105,-0.217948717948718,-1.07894736842105,0.217948717948718,0.368421052631579
1920,"DET","AL",78,77,0.41025641025641,0.376623376623377,0.393548387096774,0.524590163934426,0.475409836065574,0.494623655913978,0.505376344086022,0.571428571428571,0.657142857142857,0.965,652,833,9.7051282051282,9.50649350649351,0.307692307692308,0.285714285714286,9.33333333333333,8.83116883116883,0.153846153846154,0.233766233766234,5.79487179487179,4.93506493506494,4.30769230769231,4.1038961038961,1.79487179487179,1.77922077922078,2.38461538461538,2.64935064935065,3.3974358974359,2.81818181818182,3.24358974358974,3.05194805194805,3.88461538461538,3.44155844155844,7.14102564102564,7.11688311688312,7.35897435897436,7.45454545454545,0.5,0.428571428571429,0.666666666666667,0.493506493506494,-1.48717948717948,-0.831168831168839,-0.37179487179487,-0.67532467532468,-0.153846153846154,-0.051948051948052,1.01282051282051,0.168831168831169,-0.641025641025641,-0.38961038961039,0.217948717948717,0.337662337662337,-0.166666666666667,-0.064935064935065
1920,"SFG","NL",80,75,0.5625,0.546666666666667,0.554838709677419,0.523255813953488,0.476744186046512,0.514705882352941,0.485294117647059,0.621428571428571,0.666666666666667,0.969,682,543,8.775,9.02666666666667,0.4125,0.146666666666667,8.5125,9.94666666666667,0.3875,0.2,3.525,3.48,4.175,4.64,1.6875,1.64,3.4,3.64,2.4625,2.44,2.65,2.93333333333333,1.925,1.90666666666667,5.95,7.18666666666667,6.4125,6.33333333333333,0.4375,0.586666666666667,0.4,0.586666666666667,0.65,1.16,-0.262500000000001,0.92,-0.025,0.053333333333333,-0.9375,-1.2,0.725,1.02666666666667,0.462499999999999,-0.853333333333333,0.0375,0
1920,"NYY","AL",77,77,0.636363636363636,0.597402597402597,0.616883116883117,0.515789473684211,0.484210526315789,0.474576271186441,0.525423728813559,0.567375886524823,0.63013698630137,0.97,838,629,8.33766233766234,10.0519480519481,0.467532467532468,0.155844155844156,9.36363636363636,9.44155844155844,0.922077922077922,0.571428571428571,4,4.16883116883117,5.49350649350649,5.37662337662338,1.58441558441558,1.62337662337662,3.75324675324675,4.35064935064935,3.23376623376623,3.01298701298701,3.20779220779221,3.80519480519481,2.71428571428571,2.74025974025974,6.09090909090909,7.24675324675325,6.68831168831169,7.46753246753247,0.493506493506494,0.428571428571429,0.493506493506494,0.636363636363636,1.49350649350649,1.20779220779221,1.02597402597402,-0.61038961038966,0.454545454545454,0.415584415584415,-0.51948051948052,-1.33766233766234,0.493506493506493,1.06493506493507,0.597402597402597,0.22077922077922,0,-0.207792207792208
