"mod.1.AIC","mod.5.AIC","mod.8.AIC","mod.simp.AIC","mod.simp.1.AIC","mod.1.BIC","mod.5.BIC","mod.8.BIC","mod.simp.BIC","mod.simp.1.BIC","mod.1.AME","mod.5.AME","mod.8.AME","mod.simp.AME","mod.simp.1.AME","pyth.AME","Sim.Run"
-391.648168395076,-364.677132299127,-347.741515911454,-287.042429567307,-274.304320016561,-347.115865379856,-336.551467236883,-340.710099645893,-277.667207879893,-264.929098329146,0.0140398115513765,0.0176721204987402,0.0241332291202694,0.030421597334811,0.0311190086745302,0.0227969998810997,29
-397.292901618475,-365.558864629964,-338.453549370368,-294.080850170885,-262.396940011398,-352.760598603255,-337.43319956772,-331.422133104807,-284.705628483471,-253.021718323983,0.0168213340331338,0.020707184609831,0.0188364222244673,0.0335164534357713,0.0199712971780455,0.0220738782402083,30
-398.195453863649,-360.141059960797,-340.165384972801,-289.057258290108,-269.979774385951,-353.663150848429,-332.015394898553,-333.13396870724,-279.682036602693,-260.604552698536,0.0170441262955602,0.0163004831139414,0.020441396295429,0.0294844599809416,0.0275839861953371,0.0223539564928814,31
-410.765212035336,-389.671430643625,-345.869591522645,-285.801806835843,-274.822511811311,-366.232909020116,-361.545765581381,-338.838175257084,-276.426585148428,-265.447290123896,0.021254945055646,0.0261766891256938,0.0224258294611506,0.0283152899743966,0.0326505850720763,0.0232625102001107,32
-394.912760584047,-379.631108264036,-343.642319111573,-289.351305244838,-268.157397053173,-350.380457568827,-351.505443201792,-336.610902846012,-279.976083557424,-258.782175365759,0.0203076469724153,0.0258603036789054,0.0218962953552969,0.0309298798179341,0.0245139139809241,0.0244509274452822,33
-386.747859230755,-361.109023172831,-337.336699699571,-281.281168319099,-266.806343461223,-342.215556215535,-332.983358110586,-330.30528343401,-271.905946631684,-257.431121773809,0.0130563049909388,0.0172458629624406,0.0182934152514452,0.0249460485236445,0.0239261997835965,0.0212814622177412,34
-385.68774643692,-355.755693122346,-338.31049278213,-287.770487074063,-275.476421697576,-341.1554434217,-327.630028060102,-331.279076516569,-278.395265386649,-266.101200010161,0.0131049668834833,0.0145215590338612,0.0185763078362923,0.0299593188083039,0.0320551943671468,0.018186281807442,35
-390.357969378795,-354.605529168062,-342.44980330314,-284.106543869161,-273.538246151153,-345.825666363575,-326.479864105818,-335.418387037579,-274.731322181747,-264.163024463739,0.0148706134603042,0.0160283938888294,0.0216233333094677,0.029264496576998,0.0328864760776668,0.0219812589404054,36
-394.440280531409,-366.081678379801,-335.400137336255,-289.058178572544,-268.457503886932,-349.907977516189,-337.956013317557,-328.368721070694,-279.682956885129,-259.082282199517,0.0161645715358023,0.0192114154631657,0.0166528573529056,0.027736998984603,0.0281150057943115,0.0154455810873473,37
-393.936690917823,-357.604038246301,-341.733989999698,-296.113944854519,-271.193838951606,-349.404387902603,-329.478373184057,-334.702573734137,-286.738723167104,-261.818617264191,0.0150762178505791,0.0156049085415977,0.0210955672917718,0.0340016504573617,0.0302971505874815,0.0231846913366906,38
-391.984493897006,-379.392444417015,-346.045204833189,-281.785284722122,-279.609795501314,-347.452190881786,-351.266779354771,-339.013788567628,-272.410063034707,-270.234573813899,0.0165570736502978,0.023029638399635,0.0241368478140683,0.0244631528653769,0.0321658029683892,0.0224431668119453,39
-406.263035608774,-375.36961650523,-343.613327351097,-290.818972175813,-271.444800192556,-361.730732593554,-347.243951442986,-336.581911085536,-281.443750488399,-262.069578505141,0.0198586309643335,0.0207472390479788,0.0230918819222834,0.0324610600775303,0.0282787186762876,0.0244631113496185,40
-388.096612430295,-364.992704885836,-337.812372402908,-278.989317666196,-277.545478430102,-343.564309415075,-336.867039823591,-330.780956137346,-269.614095978782,-268.170256742687,0.013228648635498,0.0179376479929904,0.0193594503504479,0.0225507576104063,0.0311560577941077,0.0190422274477363,41
-392.563042568917,-367.848567687574,-343.595288282912,-287.634485868201,-273.189793968437,-348.030739553697,-339.72290262533,-336.563872017351,-278.259264180787,-263.814572281022,0.0151592963135003,0.0205549280015187,0.0233383568856096,0.0303814041708201,0.0320818400413233,0.0245993295347097,42
-395.295632729339,-366.509771171087,-351.631210125204,-292.957499805838,-277.765083611637,-350.763329714119,-338.384106108842,-344.599793859643,-283.582278118423,-268.389861924222,0.0186097402641414,0.0195766042206064,0.0277370637270074,0.035627029984011,0.0320758864922362,0.0278015365118822,43
-404.333851213457,-374.691980611566,-344.734874085624,-289.740218088117,-278.602945563418,-359.801548198237,-346.566315549321,-337.703457820063,-280.364996400702,-269.227723876003,0.0180937647510968,0.0235813447832173,0.0233063149250701,0.0309588321204626,0.0356511322442641,0.023196164503271,44
-406.627456260008,-368.815840141928,-342.380414070369,-298.661649281809,-268.477719234661,-362.095153244788,-340.690175079684,-335.348997804808,-289.286427594394,-259.102497547246,0.0199021274029408,0.0199526092447231,0.0214280350567825,0.0397773237260749,0.0267127458737776,0.0199726367717349,45
-389.492136783637,-360.852030988584,-338.522081455498,-280.07203620087,-269.340751330237,-344.959833768417,-332.726365926339,-331.490665189937,-270.696814513456,-259.965529642822,0.0147636482214687,0.0175558184293585,0.0191582339748558,0.0227685698178933,0.0263382953931254,0.0214308889235532,46
-383.725519074033,-357.125872617298,-336.640724879013,-284.838255906346,-277.482778934238,-339.193216058813,-329.000207555054,-329.609308613452,-275.463034218932,-268.107557246824,0.0139013151845067,0.0146640770805796,0.0183926308517904,0.0241346696720322,0.0357894965032975,0.0220301350172781,47
-412.41672713227,-371.547826368719,-343.159628959811,-291.284772456509,-263.605863756416,-367.88442411705,-343.422161306475,-336.12821269425,-281.909550769094,-254.230642069002,0.019719111377241,0.0180043176088315,0.0221194785358074,0.0333067960298048,0.0224063817219365,0.0257398784474431,48
-405.326573406721,-379.008092741021,-344.83889345306,-292.455089902,-270.618157835057,-360.794270391501,-350.882427678776,-337.807477187499,-283.079868214585,-261.242936147642,0.0201804893373261,0.0218560770324977,0.0205894654352085,0.036449271474825,0.0244783325498111,0.0205160651392403,49
-385.29483737365,-355.429718011295,-339.625130572564,-293.455448403248,-270.326237412464,-340.76253435843,-327.304052949051,-332.593714307003,-284.080226715833,-260.951015725049,0.0122016378599838,0.0143479546606022,0.0189347894030264,0.033240953021557,0.0308529019071806,0.018481466698541,50
-398.478999125459,-376.650420415486,-350.375771185331,-297.908604345113,-265.605524022314,-353.946696110239,-348.524755353242,-343.34435491977,-288.533382657698,-256.230302334899,0.0183395200812678,0.0215002467858619,0.0248879823844552,0.0400498604213564,0.024742313050331,0.0274538366077493,51
-394.989770716116,-357.203166776801,-343.258466404905,-287.197888590105,-275.198610916056,-350.457467700896,-329.077501714557,-336.227050139344,-277.82266690269,-265.823389228641,0.0155051552705504,0.0170099342678066,0.0208131334655083,0.0287869329588107,0.0278874961177066,0.0222826649615001,52
-391.24118633625,-365.204420620439,-342.859630330105,-301.724914510337,-277.452806433456,-346.70888332103,-337.078755558195,-335.828214064544,-292.349692822923,-268.077584746042,0.0143933896613978,0.0192519586006883,0.0231476331845629,0.0367268643498688,0.0346917136916464,0.0246856666551624,53
-395.576635435807,-365.634148651525,-335.699952602667,-301.389253299768,-265.671613413307,-351.044332420587,-337.508483589281,-328.668536337106,-292.014031612353,-256.296391725892,0.0188662810114777,0.0201861838977649,0.0175379517507833,0.0378210572657404,0.0227468381517477,0.0198116257274882,54
-381.391286174187,-363.661778038603,-338.3713635602,-283.453103858371,-266.048004992018,-336.858983158967,-335.536112976359,-331.339947294639,-274.077882170957,-256.672783304604,0.0113301561558698,0.0175849826263766,0.0169463740819048,0.0277922610969703,0.0226552239501395,0.0199286929908965,55
-393.547014860062,-359.280093556127,-334.094278970621,-286.905586128734,-273.986588530548,-349.014711844842,-331.154428493883,-327.06286270506,-277.530364441319,-264.611366843133,0.0178564177465681,0.0170151183837244,0.0173319615225527,0.0298054930403783,0.0317260128390783,0.0172383317090024,56
-401.179219051349,-369.601441721815,-339.695232285581,-287.853360711227,-272.460445594046,-356.646916036129,-341.475776659571,-332.66381602002,-278.478139023813,-263.085223906631,0.0189175061129855,0.0189077732423619,0.0199694292392847,0.0266371451218912,0.030511608478924,0.0227268900055808,57
-387.208030829674,-353.19159200419,-344.302057502668,-290.284600026433,-287.901622552113,-342.675727814454,-325.065926941946,-337.270641237107,-280.909378339018,-278.526400864698,0.0139194265888109,0.0142431473545192,0.0212909918397472,0.0329711592152531,0.0422418146117851,0.0218407522132659,58
-389.646298399505,-364.463046290744,-344.663865503601,-302.530909127552,-268.828799377322,-345.113995384285,-336.337381228499,-337.63244923804,-293.155687440137,-259.453577689907,0.0133382044588231,0.0164909306960855,0.0241091578115656,0.0401744396279704,0.0289322535116713,0.0245537382343444,59
-388.754706474469,-373.495287748128,-337.070921926013,-281.33882350634,-268.150103411115,-344.222403459249,-345.369622685884,-330.039505660452,-271.963601818926,-258.774881723701,0.0160885884989156,0.0234975442849759,0.01726604809757,0.0248279725583095,0.0254591356793082,0.0164409875458551,60
-382.655456909727,-354.2138387899,-336.715288726462,-286.590105295416,-266.35504800607,-338.123153894507,-326.088173727656,-329.683872460901,-277.214883608002,-256.979826318655,0.0128136747236139,0.0141890826728543,0.0178513462340744,0.0286718526656451,0.0247424200627997,0.0176535554573251,61
-390.422898410695,-363.948733338721,-347.907266814339,-298.15488684149,-274.61938892326,-345.890595395475,-335.823068276477,-340.875850548778,-288.779665154076,-265.244167235845,0.0151648947691156,0.0193571404760055,0.0265937109385689,0.036584037571757,0.0319348571908479,0.0280327709796425,62
-386.730781850841,-360.061271309497,-346.331070046267,-301.905310070693,-283.456100856209,-342.198478835621,-331.935606247252,-339.299653780706,-292.530088383279,-274.080879168794,0.0123922887714731,0.0168731016304529,0.0228320518320858,0.0391581590062773,0.0415935319293429,0.0210935681002073,63
-398.661447910578,-365.321660676433,-342.360798240972,-290.143206440198,-276.040845831766,-354.129144895358,-337.195995614188,-335.329381975411,-280.767984752783,-266.665624144351,0.0191895461031185,0.0232930384248741,0.0213269551703942,0.0337209319742193,0.0342852284456524,0.0207954762827832,64
-392.970401800467,-367.682628627778,-343.615688558913,-286.944149726541,-278.141172686008,-348.438098785247,-339.556963565534,-336.584272293352,-277.568928039126,-268.765950998593,0.0159208694273623,0.0212499785856079,0.0212162635117266,0.031449956803838,0.0298936048563559,0.0222186984039376,65
-394.561100570127,-367.536119048307,-340.499034235327,-299.480101189612,-272.010477891799,-350.028797554907,-339.410453986063,-333.467617969766,-290.104879502198,-262.635256204385,0.0164801710715512,0.0189937848366588,0.0201592544786165,0.0385777347853268,0.0280830659555041,0.0207904305557788,66
-397.391600498218,-368.323545067358,-344.995343304825,-287.176872115665,-283.29128858092,-352.859297482998,-340.197880005114,-337.963927039264,-277.80165042825,-273.916066893506,0.0160853125310629,0.0186485433076516,0.023057425661269,0.0283982993254502,0.038812791001628,0.0239220111096085,67
-394.329587232934,-364.300388371403,-341.767392147691,-291.28788280131,-264.762321587164,-349.797284217714,-336.174723309159,-334.73597588213,-281.912661113895,-255.38709989975,0.0145427628961862,0.0183342987503295,0.0205081059645223,0.03120705517616,0.0231828707155191,0.0234471235216905,68
-383.894075538012,-358.576574836087,-340.210849604209,-281.8552992383,-272.267807017728,-339.361772522792,-330.450909773843,-333.179433338648,-272.480077550885,-262.892585330313,0.0122271454375634,0.0183031220730607,0.0205676954692048,0.0248734848174086,0.0292570599630312,0.0238560791115169,69
-393.391531466103,-359.148678334758,-346.622324303335,-291.333874604175,-278.859258163989,-348.859228450883,-331.023013272513,-339.590908037774,-281.95865291676,-269.484036476574,0.0154666772802383,0.0196838898278849,0.0231582920263773,0.033300632201089,0.0308971872156848,0.0235432538760005,70
-383.318446074176,-363.090787477844,-336.629454741075,-279.060437416764,-270.227538294652,-338.786143058956,-334.965122415599,-329.598038475514,-269.685215729349,-260.852316607237,0.0130359381079712,0.0184288191886527,0.0184982794484753,0.0221459629642781,0.0267607121321503,0.0177438072075584,71
-390.480295231951,-360.087765501467,-342.25167501287,-293.325655412318,-264.526759634835,-345.947992216731,-331.962100439223,-335.220258747309,-283.950433724904,-255.15153794742,0.0155292739613424,0.0182641773611364,0.0232204314260538,0.0346823983630467,0.0202693729123747,0.0200124371373896,72
-385.551242382662,-357.679442452048,-339.897807930728,-282.838324020396,-275.050748062168,-341.018939367442,-329.553777389804,-332.866391665167,-273.463102332981,-265.675526374753,0.0132584801478907,0.0148253909687201,0.0196802369594897,0.0255298278253593,0.030697225201725,0.0194938790054519,73
-384.070081426216,-359.299234492521,-339.395839427847,-290.139510666222,-275.414344925591,-339.537778410996,-331.173569430277,-332.364423162286,-280.764288978807,-266.039123238176,0.0115491917823624,0.0158109634701021,0.0212011515685199,0.0324683741372685,0.0300726407047648,0.0221686184759568,74
-406.937512812633,-367.707005157548,-348.147287038197,-289.701355796136,-277.916866190219,-362.405209797413,-339.581340095304,-341.115870772636,-280.326134108722,-268.541644502805,0.0201633322033214,0.0196312857283303,0.0237172879256078,0.0321139828927027,0.035255685636341,0.027616447788102,75
-394.65492652072,-357.528174171684,-348.952229911636,-285.795544594478,-279.273673943166,-350.1226235055,-329.40250910944,-341.920813646075,-276.420322907063,-269.898452255751,0.0154679416749047,0.0170061309278111,0.0247890978466125,0.0299625195071527,0.0332022259757384,0.0266552373548798,76
-389.598766110241,-370.821971474493,-336.19753336054,-281.769035408535,-272.143106897117,-345.066463095021,-342.696306412249,-329.166117094979,-272.39381372112,-262.767885209702,0.0126506993520887,0.01994330853741,0.0168204659178253,0.0260778617261342,0.0269220065585535,0.0202028748027659,77
-395.415231052546,-357.196390354642,-344.082184653524,-289.03171399924,-285.028692268322,-350.882928037326,-329.070725292398,-337.050768387963,-279.656492311825,-275.653470580908,0.0172832355479947,0.01658291815603,0.0227678800922587,0.0298921845608731,0.0373588426467957,0.021623530728069,78
-393.331978463701,-369.604976154734,-350.643517793513,-283.205783152756,-270.70880313337,-348.799675448481,-341.47931109249,-343.612101527952,-273.830561465342,-261.333581445956,0.0178184349653381,0.0206559082830199,0.0264091221023638,0.0282019046106691,0.0280636404672629,0.0257979764522878,79
-402.018393196449,-365.676004990769,-347.9316605266,-287.227679835248,-267.532438382925,-357.486090181229,-337.550339928525,-340.900244261039,-277.852458147833,-258.15721669551,0.0209977448348643,0.0187679905788952,0.0240861378461027,0.0312062228240669,0.0237929303860245,0.0270523781429118,80
-384.307089509054,-367.864090586088,-345.414232286186,-291.427354571235,-267.346003549483,-339.774786493834,-339.738425523844,-338.382816020625,-282.05213288382,-257.970781862068,0.0127628597415439,0.01935530581612,0.0224076894826001,0.0328240905939103,0.0234500331704378,0.0221588976188764,81
-401.830535494644,-363.087445834572,-340.793823229392,-297.280636848759,-268.696028602911,-357.298232479424,-334.961780772328,-333.762406963831,-287.905415161344,-259.320806915496,0.0188937353357585,0.0201671430072801,0.020879794322382,0.0366479853782218,0.0293607683500112,0.0231173161463791,82
-387.183993660881,-357.042394531291,-346.249347400325,-296.651066134647,-277.959308921939,-342.651690645661,-328.916729469047,-339.217931134764,-287.275844447233,-268.584087234524,0.0143658971346176,0.0171303058646849,0.0248495751508159,0.0323557752515894,0.0364652195307004,0.0243838478056189,83
-409.349746307817,-376.277980604559,-341.618989430206,-286.143996824217,-274.63615664572,-364.817443292597,-348.152315542315,-334.587573164645,-276.768775136802,-265.260934958305,0.0192243038642099,0.0209433524589732,0.0193423158852074,0.027888411030877,0.0323057597119948,0.0203241678501984,84
-379.568151930822,-370.520283249704,-341.93210634916,-282.667868250392,-273.430577550281,-335.035848915602,-342.39461818746,-334.900690083599,-273.292646562977,-264.055355862867,0.0118521295272728,0.0198847240346962,0.0209683760790239,0.027693103252976,0.0298183024696538,0.0230620953979304,85
-393.994544032534,-355.9051830822,-343.772710109458,-284.645764308764,-278.779572366441,-349.462241017314,-327.779518019956,-336.741293843897,-275.270542621349,-269.404350679026,0.0158987935519063,0.0158071923611281,0.0211189646805564,0.0284075496100406,0.0327604531477791,0.0209915890360977,86
-389.371441978716,-357.313848280969,-341.689018284353,-288.124777613743,-272.289815569531,-344.839138963496,-329.188183218724,-334.657602018792,-278.749555926328,-262.914593882117,0.0151088456239507,0.0182578531687216,0.020107908873532,0.0292489162192176,0.0290865309247693,0.019978791477066,87
-392.32093883519,-363.925161979782,-353.344653515691,-298.136256455896,-285.754575248742,-347.78863581997,-335.799496917538,-346.31323725013,-288.761034768481,-276.379353561327,0.0176887504274749,0.0189425287390108,0.0267049272713459,0.0326580329818735,0.0373076421591994,0.0241023047882214,88
-383.28325238316,-354.188776727809,-340.546833988934,-299.698939835055,-273.939215493404,-338.75094936794,-326.063111665565,-333.515417723373,-290.32371814764,-264.563993805989,0.0120826912820118,0.01332248552703,0.0194458116373904,0.0344020512032908,0.0286247994132988,0.0196364794201195,89
-389.803630255764,-362.683519731756,-353.274173305057,-298.273166406902,-279.661480665443,-345.271327240544,-334.557854669512,-346.242757039496,-288.897944719487,-270.286258978029,0.0130705835743823,0.0174037016434139,0.0251084893596486,0.0353541453016242,0.0316070819962037,0.0249499094428303,90
-399.532791813423,-367.340363392914,-342.232887994803,-310.650149940618,-273.213400544322,-355.000488798203,-339.21469833067,-335.201471729242,-301.274928253203,-263.838178856907,0.017928010932252,0.0187414826190066,0.0214848143661781,0.0415317791489667,0.0316675808024645,0.019780642299477,91
-389.669551863855,-359.80004505651,-345.082870588184,-280.826015832106,-284.411565836469,-345.137248848635,-331.674379994266,-338.051454322623,-271.450794144691,-275.036344149054,0.01460422110071,0.0169483530141213,0.0221639599488571,0.0244726241487337,0.0373295374711591,0.0209157044332807,92
-397.016169989747,-365.499796558291,-337.724280276681,-293.190682460976,-265.841817362632,-352.483866974527,-337.374131496046,-330.69286401112,-283.815460773561,-256.466595675217,0.0165213563825378,0.0177717196238607,0.0182089876116945,0.032894425206243,0.0242351150478687,0.0224159900348471,93
-385.6506078706,-353.058646574825,-337.622248778538,-292.03106232719,-270.575419274992,-341.11830485538,-324.932981512581,-330.590832512977,-282.655840639776,-261.200197587578,0.0141811438420486,0.0138482292630949,0.0187142326874861,0.0331552259467986,0.0276596895437167,0.016790342440774,94
-395.191155333463,-359.538827662507,-343.026318570735,-289.988013726514,-273.621931887266,-350.658852318243,-331.413162600263,-335.994902305174,-280.612792039099,-264.246710199851,0.0182520913575258,0.0189987792183328,0.0225622496520854,0.0304413611137833,0.0290116231854499,0.0195872536820231,95
-396.695038234098,-362.607134524264,-347.309089417215,-290.549660893808,-270.345969044347,-352.162735218878,-334.48146946202,-340.277673151654,-281.174439206393,-260.970747356933,0.0168615700580908,0.0187867051135416,0.0236270677353971,0.0317082131193097,0.0270862710344585,0.0233625945077648,96
-391.602926712462,-365.68860607837,-336.964010220161,-282.587319805844,-277.906866803787,-347.070623697242,-337.562941016126,-329.9325939546,-273.212098118429,-268.531645116372,0.0131091938461094,0.0153292160772144,0.0178910185767606,0.0251713852098439,0.0338786113726239,0.0171199229541389,97
-389.585761285236,-378.743549807996,-343.353639718785,-288.56545604982,-273.148807338258,-345.053458270016,-350.617884745752,-336.322223453224,-279.190234362405,-263.773585650844,0.013245581744431,0.0216475233231944,0.0216198809311244,0.0315029158491768,0.0320396170643079,0.0254170323134523,98
-387.456021623841,-358.232784341055,-339.141202083218,-281.493109112504,-277.23472691217,-342.923718608621,-330.10711927881,-332.109785817657,-272.117887425089,-267.859505224755,0.0119560614499013,0.0156762324323946,0.0195562818272391,0.0268279259542878,0.0325943309540448,0.0177894882336988,99
