"yearID","Home_Games","Away_Games","Home_Win_Per","Away_Win_Per","Total_Win_Per","Per_Wins_at_Home","Per_Wins_Away","Per_Losses_at_Home","Per_Losses_Away","Previous_Season_Total_Win_Per","Previous_Home_Win_Per","FP","HA_per_HG","HA_per_AG","HRA_per_HG","HRA_per_AG","H_per_HG","H_per_AG","HR_per_HG","HR_per_AG","RA_per_HG","RA_per_AG","RS_per_HG","RS_per_AG","P_per_HG","P_per_AG","SO_per_HG","SO_per_AG","SOP_per_HG","SOP_per_AG","BB_per_HG","BB_per_AG","BBP_per_HG","BBP_per_AG","RNS_per_HG","RNS_per_AG","RNSP_per_HG","RNSP_per_AG","X3B_per_HG","X3B_per_AG","X3P_per_HG","X3P_per_AG","Run_Dif_HG","Run_Dif_AG","Hit_Dif_HG","Hit_Dif_AG","HR_Dif_HG","HR_dif_AG","SO_Dif_HG","SO_Dif_AG","BB_Dif_HG","BB_Dif_AG","RNS_Dif_HG","RNS_Dif_AG","Trip_Dif_HG","Trip_Dif_AG","RS","RA","Previous_Away_Win_Per"
1920,77,77,0.558441558441558,0.415584415584416,0.487012987012987,0.573333333333333,0.426666666666667,0.430379746835443,0.569620253164557,0.535714285714286,0.563380281690141,0.965,9.64935064935065,9.41558441558442,0.194805194805195,0.285714285714286,8.80519480519481,8.72727272727273,0.246753246753247,0.194805194805195,3.92207792207792,4.32467532467532,4.18181818181818,3.85714285714286,1.49350649350649,1.71428571428571,2.93506493506493,2.53246753246753,3.61038961038961,2.98701298701299,2.83116883116883,2.72727272727273,2.41558441558442,2.54545454545455,6.74025974025974,6.42857142857143,6.98701298701299,6.77922077922078,0.337662337662338,0.532467532467532,0.493506493506494,0.766233766233766,0.25974025974026,-0.46753246753246,-0.844155844155839,-0.688311688311689,0.051948051948052,-0.090909090909091,0.67532467532468,0.45454545454546,0.41558441558441,0.18181818181818,0.24675324675325,0.35064935064935,-0.155844155844156,-0.233766233766234,619,635,0.507246376811594
1921,76,77,0.421052631578947,0.415584415584416,0.418300653594771,0.5,0.5,0.49438202247191,0.50561797752809,0.487012987012987,0.558441558441558,0.974,11.3552631578947,9.55844155844156,0.486842105263158,0.38961038961039,10.4342105263158,9.87012987012987,0.302631578947368,0.181818181818182,5.71052631578947,4.4025974025974,4.53947368421053,4.19480519480519,1.86842105263158,1.7012987012987,2.57894736842105,2.36363636363636,3.19736842105263,2.75324675324675,2.46052631578947,2.02597402597403,2.78947368421053,2.54545454545455,7.60526315789474,6.94805194805195,7.28947368421053,6.50649350649351,0.302631578947368,0.428571428571429,0.25,0.558441558441558,-1.17105263157894,-0.20779220779221,-0.921052631578901,0.311688311688311,-0.18421052631579,-0.207792207792208,0.61842105263158,0.38961038961039,-0.32894736842106,-0.51948051948052,-0.31578947368421,-0.44155844155844,0.052631578947368,-0.129870129870129,668,773,0.415584415584416
1922,76,80,0.513157894736842,0.5125,0.512820512820513,0.4875,0.5125,0.5,0.5,0.418300653594771,0.421052631578947,0.968,9.9078947368421,10.225,0.486842105263158,0.5,9.39473684210526,10.6375,0.289473684210526,0.25,5.02631578947368,5.325,4.52631578947368,5.3375,1.92105263157895,1.85,2.85526315789474,2.8875,2.93421052631579,2.475,3.27631578947368,3.4625,2.88157894736842,3.25,7.30263157894737,7.4125,6.73684210526316,7.45,0.355263157894737,0.5625,0.223684210526316,0.7,-0.5,0.0125000000000002,-0.513157894736841,0.4125,-0.197368421052632,-0.25,0.07894736842105,-0.4125,0.39473684210526,0.2125,-0.56578947368421,0.0375000000000005,0.131578947368421,-0.1375,771,808,0.415584415584416
1923,77,77,0.597402597402597,0.480519480519481,0.538961038961039,0.55421686746988,0.44578313253012,0.436619718309859,0.563380281690141,0.512820512820513,0.513157894736842,0.967,9.16883116883117,9.42857142857143,0.74025974025974,0.376623376623377,10.2727272727273,9.41558441558442,0.818181818181818,0.350649350649351,4.5974025974026,4.54545454545455,5.22077922077922,4.5974025974026,1.68831168831169,1.7012987012987,2.96103896103896,3.33766233766234,2.83116883116883,2.46753246753247,3.06493506493507,2.84415584415584,2.75324675324675,2.8961038961039,7.22077922077922,6.50649350649351,6.72727272727273,7.14285714285714,0.272727272727273,0.402597402597403,0.168831168831169,0.558441558441558,0.62337662337662,0.0519480519480497,1.10389610389613,-0.0129870129870113,0.0779220779220781,-0.025974025974026,-0.12987012987013,-0.87012987012987,0.31168831168832,-0.05194805194806,-0.49350649350649,0.63636363636363,0.103896103896104,-0.155844155844155,756,704,0.5125
1924,78,76,0.58974358974359,0.460526315789474,0.525974025974026,0.567901234567901,0.432098765432099,0.438356164383562,0.561643835616438,0.538961038961039,0.597402597402597,0.966,9.52564102564103,9.43421052631579,0.871794871794872,0.276315789473684,8.96153846153846,9.47368421052632,0.423076923076923,0.434210526315789,4.37179487179487,4.71052631578947,4.78205128205128,4.27631578947368,1.66666666666667,1.72368421052632,3.30769230769231,3.47368421052632,3.05128205128205,2.47368421052632,3.33333333333333,2.76315789473684,2.29487179487179,3.40789473684211,6.35897435897436,6.30263157894737,6.46153846153846,7.19736842105263,0.346153846153846,0.421052631578947,0.41025641025641,0.5,0.410256410256411,-0.43421052631579,-0.564102564102571,0.039473684210531,-0.448717948717949,0.157894736842105,-0.25641025641026,-1,1.03846153846154,-0.64473684210527,0.1025641025641,0.89473684210526,-0.064102564102564,-0.078947368421053,698,699,0.480519480519481
1925,77,77,0.480519480519481,0.402597402597403,0.441558441558442,0.544117647058823,0.455882352941176,0.465116279069767,0.534883720930233,0.525974025974026,0.58974358974359,0.969,10.3636363636364,10.0909090909091,0.818181818181818,0.506493506493506,9.36363636363636,9.75324675324675,0.74025974025974,0.376623376623377,4.66233766233766,5.37662337662338,4.76623376623377,4.62337662337662,1.77922077922078,1.71428571428571,2.94805194805195,3.15584415584416,3.27272727272727,2.38961038961039,2.83116883116883,2.35064935064935,2.96103896103896,3.35064935064935,7.05194805194805,6.84415584415584,7.55844155844156,7.19480519480519,0.298701298701299,0.61038961038961,0.376623376623377,0.74025974025974,0.10389610389611,-0.75324675324676,-1.00000000000004,-0.337662337662351,-0.0779220779220781,-0.129870129870129,0.32467532467532,-0.76623376623377,-0.12987012987013,-1,0.50649350649351,0.35064935064935,-0.077922077922078,-0.12987012987013,723,773,0.460526315789474
1926,78,77,0.628205128205128,0.428571428571429,0.529032258064516,0.597560975609756,0.402439024390244,0.388888888888889,0.611111111111111,0.441558441558442,0.480519480519481,0.974,8.92307692307692,9.28571428571429,0.205128205128205,0.298701298701299,10.0897435897436,8.64935064935065,0.448717948717949,0.402597402597403,3.78205128205128,3.98701298701299,4.83333333333333,3.96103896103896,1.73076923076923,1.74025974025974,2.82051282051282,2.94805194805195,3.75641025641026,2.79220779220779,2.96153846153846,2.77922077922078,2.67948717948718,3.63636363636364,7.23076923076923,7.06493506493506,6.87179487179487,7.7012987012987,0.243589743589744,0.38961038961039,0.41025641025641,0.428571428571429,1.05128205128205,-0.0259740259740302,1.16666666666668,-0.63636363636364,0.243589743589744,0.103896103896104,0.93589743589744,-0.15584415584416,0.28205128205128,-0.85714285714286,-0.35897435897436,0.63636363636364,-0.166666666666666,-0.038961038961039,682,602,0.402597402597403
1927,78,75,0.641025641025641,0.466666666666667,0.555555555555556,0.588235294117647,0.411764705882353,0.411764705882353,0.588235294117647,0.529032258064516,0.628205128205128,0.971,9.35897435897436,9.4,0.243589743589744,0.413333333333333,10.2179487179487,9.44,0.474358974358974,0.493333333333333,4.03846153846154,4.61333333333333,5.1025641025641,4.69333333333333,1.75641025641026,1.73333333333333,3.25641025641026,3.2,3.05128205128205,3.04,3,3.29333333333333,3.34615384615385,3.37333333333333,7.44871794871795,7.50666666666667,7.69230769230769,7.68,0.41025641025641,0.413333333333333,0.435897435897436,0.48,1.06410256410256,0.0800000000000001,0.85897435897434,0.0399999999999991,0.23076923076923,0.08,-0.20512820512821,-0.16,-0.34615384615385,-0.0800000000000001,0.24358974358974,0.173333333333329,-0.025641025641026,-0.066666666666667,750,661,0.428571428571429
1928,77,77,0.675324675324675,0.506493506493506,0.590909090909091,0.571428571428571,0.428571428571429,0.396825396825397,0.603174603174603,0.555555555555556,0.641025641025641,0.975,8.57142857142857,9.38961038961039,0.233766233766234,0.493506493506494,9.07792207792208,9.88311688311688,0.519480519480519,0.675324675324675,3.42857142857143,4.55844155844156,4.35064935064935,4.92207792207792,1.7012987012987,1.88311688311688,3.07792207792208,3.63636363636364,3.98701298701299,3.02597402597403,3.57142857142857,3.02597402597403,2.96103896103896,3.57142857142857,7.74025974025974,7.67532467532468,7.14285714285714,7.38961038961039,0.415584415584416,0.415584415584416,0.25974025974026,0.402597402597403,0.92207792207792,0.36363636363636,0.506493506493511,0.493506493506491,0.285714285714285,0.181818181818181,0.90909090909091,-0.61038961038961,0.61038961038961,-0.54545454545454,-0.5974025974026,-0.28571428571429,0.155844155844156,0.012987012987013,714,615,0.466666666666667
1929,78,78,0.666666666666667,0.58974358974359,0.628205128205128,0.530612244897959,0.469387755102041,0.462962962962963,0.537037037037037,0.590909090909091,0.675324675324675,0.975,9.85897435897436,9.94871794871795,0.525641025641026,0.461538461538462,10.3589743589744,10.8589743589744,0.974358974358974,0.807692307692308,4.79487179487179,4.92307692307692,6.28205128205128,6.30769230769231,1.96153846153846,1.82051282051282,3.46153846153846,3.80769230769231,3.64102564102564,3.44871794871795,3.85897435897436,3.69230769230769,3.5,3.37179487179487,7.17948717948718,7.48717948717949,7.30769230769231,7.78205128205128,0.256410256410256,0.333333333333333,0.5,0.487179487179487,1.48717948717949,1.38461538461539,0.500000000000041,0.91025641025645,0.448717948717948,0.346153846153846,0.17948717948718,-0.35897435897436,0.35897435897436,0.32051282051282,0.12820512820513,0.29487179487179,-0.243589743589744,-0.153846153846154,982,758,0.506493506493506
