Rk,Name,Prfct,Gcar,Gtm,Year,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24
94,Ken Forsch,,364,2,1979,Apr 7,HOU,,ATL,"W,6-0",SHO,W,99,9,0,0,0,2,3,0,0,0,29,,,,,15,9,0,0,0,88,0,0,0,27,0,0,0,0,0,0,0.64,0.385,1.03,0.37%,3.98
95,Tom Seaver,,402,63,1978,Jun 16,CIN,,STL,"W,4-0",SHO,W,5,9,0,0,0,3,3,0,0,3.22,30,,,,,15,9,0,1,0,87,1,0,0,27,0,0,0,0,0,0,0.67,0.365,1.39,0.45%,4.02
96,Bob Forsch,,124,9,1978,Apr 16,STL,,PHI,"W,5-0",SHO,W,3,9,0,0,0,2,3,0,0,0.71,29,,,,,14,10,1,1,0,88,1,0,0,27,0,0,0,1,0,1,0.73,0.394,1.21,0.39%,3.98
97,Bert Blyleven,,282,153,1977,Sep 22,TEX,@,CAL,"W,6-0",SHO,W,15,9,0,0,0,1,7,0,0,2.72,28,,,,,8,12,4,2,0,93,0,0,0,27,0,0,0,1,0,1,0.46,0.276,0,0.00%,4.38
98,Dennis Eckersley,,81,41,1977,May 30,CLE,,CAL,"W,1-0",SHO,W,4,9,0,0,0,1,12,0,0,2.98,28,,,,,4,11,0,0,0,98,0,0,0,27,0,0,0,1,0,0,1.15,0.737,0.91,0.35%,4.38
99,Jim Colborn,,245,32,1977,May 14,KCR,,TEX,"W,6-0",SHO,W,4,9,0,0,0,1,6,0,1,2.23,28,,,,,11,9,2,0,0,92,1,0,0,26,0,0,0,1,0,0,0.66,0.397,0.74,0.27%,4.65
100,John Montefusco,,79,160,1976,Sep 29,SFG,@,ATL,"W,9-0",SHO,W,5,9,0,0,0,1,4,0,0,2.84,28,,,,,12,11,0,0,0,90,0,0,0,27,0,0,0,0,0,0,0.29,0.16,0,0.00%,4.23
101,John Candelaria*,,40,110,1976,Aug 9,PIT,,LAD,"W,2-0",SHO,W,4,9,0,0,0,1,7,0,0,3.05,30,,,,,13,9,1,1,0,93,0,0,0,29,0,0,0,0,0,2,0.95,0.522,0.08,0.03%,3.99
102,Larry Dierker,,334,84,1976,Jul 9,HOU,,MON,"W,6-0",SHO,W,4,9,0,0,0,4,8,0,0,4.07,30,,,,,9,9,1,1,0,91,1,0,0,26,0,0,0,0,0,0,0.54,0.232,0.1,0.03%,3.63
103,Ed Halicki,,36,129,1975,Aug 24(2),SFG,,NYM,"W,6-0",SHO,W,3,9,0,0,0,2,10,0,0,3.48,30,,,,,7,11,1,6,0,95,0,0,0,28,0,0,0,0,0,1,0.59,0.324,0,0.00%,4.3
104,Nolan Ryan,,239,49,1975,Jun 1,CAL,,BAL,"W,1-0",SHO,W,3,9,0,0,0,4,9,0,0,2.45,32,,,,,10,9,1,0,0,92,1,0,0,28,0,0,0,0,0,1,1.38,0.701,0.88,0.27%,3.97
105,Nolan Ryan,,227,160,1974,Sep 28,CAL,,MIN,"W,4-0",SHO,W,3,9,0,0,0,8,15,0,0,2.89,35,,,,,4,8,0,0,0,94,0,0,0,27,0,0,0,0,0,0,0.75,0.302,0,0.00%,3.86
106,Dick Bosman,,238,91,1974,Jul 19,CLE,,OAK,"W,4-0",SHO,W,4,9,0,0,0,0,4,0,0,3.7,28,,,,,16,8,1,0,0,91,0,0,0,28,0,0,0,0,0,1,0.5,0.315,0.96,0.36%,4.07
107,Steve Busby,,58,62,1974,Jun 19,KCR,@,MIL,"W,2-0",SHO,W,4,9,0,0,0,1,3,0,0,3.39,28,,,,,13,11,4,5,0,89,0,0,0,27,0,0,0,0,0,0,0.95,0.581,1.84,0.68%,4.07
108,Phil Niekro,,346,117,1973,Aug 5,ATL,,SDP,"W,9-0",SHO,W,3,9,0,0,0,3,4,0,0,3.44,32,,,,,11,14,2,0,0,88,0,0,0,29,0,0,0,0,0,2,0.49,0.272,0,0.00%,4.48
109,Jim Bibby,,25,102,1973,Jul 30,TEX,@,OAK,"W,6-0",SHO,W,3,9,0,0,0,6,13,0,0,3.38,33,,,,,7,7,0,1,0,94,1,0,0,27,0,0,0,0,0,0,0.41,0.178,0,0.00%,4.09
110,Nolan Ryan,,168,89,1973,Jul 15,CAL,@,DET,"W,6-0",SHO,W,3,9,0,0,0,4,17,0,0,2.9,31,,,,,4,6,1,1,0,100,0,0,0,27,0,0,0,0,0,0,0.9,0.508,1.36,0.46%,4.56
111,Nolan Ryan,,154,30,1973,May 15,CAL,@,KCR,"W,3-0",SHO,W,2,9,0,0,0,3,12,0,0,2.71,30,,,,,4,11,1,1,0,96,1,0,0,27,0,0,0,0,0,0,0.81,0.492,1.43,0.52%,4.56
112,Steve Busby,,10,19,1973,Apr 27,KCR,@,DET,"W,3-0",SHO,W,6,9,0,0,0,6,4,0,0,5.11,31,,,,,9,12,3,0,0,85,0,0,0,25,0,0,0,1,0,0,1.35,0.618,2.14,0.59%,4.56
113,Bill Stoneman,,203,152,1972,Oct 2(1),MON,,NYM,"W,7-0",SHO,W,5,9,0,0,0,7,9,0,0,2.98,34,,,,,8,10,2,2,0,89,0,0,0,27,0,0,0,1,0,1,0.28,0.172,0,0.00%,3.93
114,Milt Pappas,,485,128,1972,Sep 2,CHC,,SDP,"W,8-0",SHO,W,3,9,0,0,0,1,6,0,0,3,28,,,,,12,10,4,2,0,92,0,0,0,27,0,0,0,0,0,0,0.41,0.288,0.06,0.02%,4.28
115,Burt Hooton,,4,2,1972,Apr 16,CHC,,PHI,"W,4-0",SHO,W,99,9,0,0,0,7,7,0,0,0,32,,,,,9,9,2,0,0,87,0,1,0,24,0,0,0,1,0,0,1.14,0.503,1.7,0.45%,4.28
116,Bob Gibson,,406,122,1971,Aug 14,STL,@,PIT,"W,11-0",SHO,W,4,9,0,0,0,3,10,0,0,3.22,31,,,,,7,11,1,0,0,94,0,0,0,28,0,0,0,0,0,0,0.26,0.112,0.79,0.21%,3.99
117,Rick Wise,,198,68,1971,Jun 23,PHI,@,CIN,"W,4-0",SHO,W,3,9,0,0,0,1,3,0,0,2.94,28,,,,,15,9,2,0,0,89,0,0,0,27,0,0,0,0,0,0,0.62,0.376,0.04,0.02%,3.71
118,Ken Holtzman*,,174,52,1971,Jun 3,CHC,@,CIN,"W,1-0",SHO,W,3,9,0,0,0,4,6,0,0,4.79,30,,,,,10,10,1,2,0,89,1,0,0,26,0,0,0,1,0,0,1.44,0.753,0.8,0.25%,3.71
119,Vida Blue*,,16,154,1970,Sep 21,OAK,,MIN,"W,6-0",SHO,W,5,9,0,0,0,1,9,0,0,2.28,28,,,,,10,8,1,0,0,95,0,0,0,27,0,0,0,0,0,0,0.86,0.563,0.01,0.00%,4.05
120,Bill Singer,,128,92,1970,Jul 20,LAD,,PHI,"W,5-0",SHO,W,3,9,0,0,0,0,10,0,1,2.9,29,,,,,10,8,4,1,0,97,0,0,0,28,0,0,0,0,0,1,0.51,0.286,0.31,0.11%,4.3
121,Clyde Wright*,,137,77,1970,Jul 3,CAL,,OAK,"W,4-0",SHO,W,3,9,0,0,0,3,1,0,0,2.9,29,,,,,14,11,2,4,0,85,0,0,0,26,0,0,0,1,0,0,0.59,0.322,1.43,0.47%,4.01
122,Dock Ellis,,75,58,1970,Jun 12(1),PIT,@,SDP,"W,2-0",SHO,W,5,9,0,0,0,8,6,0,1,3.86,36,,,,,7,14,3,0,0,85,3,0,0,27,0,0,0,0,0,0,1.27,0.633,1.95,0.58%,4.3
123,Bob Moose,,81,152,1969,Sep 20,PIT,@,NYM,"W,4-0",SHO,W,3,9,0,0,0,3,6,0,0,2.99,30,,,,,13,8,2,1,0,90,0,0,0,27,0,0,0,0,0,0,0.71,0.408,0,0.00%,4.16
124,Ken Holtzman*,,112,123,1969,Aug 19,CHC,,ATL,"W,3-0",SHO,W,3,9,0,0,0,3,0,0,0,3.12,30,,,,,12,15,0,2,0,84,0,0,0,27,0,0,0,0,0,0,0.66,0.405,0.9,0.33%,4.61
125,Jim Palmer,,82,116,1969,Aug 13,BAL,,OAK,"W,8-0",SHO,W,3,9,0,0,0,6,8,0,0,1.77,35,,,,,10,11,1,0,0,89,0,0,0,29,0,0,0,0,0,2,0.72,0.343,0.05,0.01%,4.13
126,Don Wilson,,71,25,1969,May 1,HOU,@,CIN,"W,4-0",SHO,W,3,9,0,0,0,6,13,0,1,3.46,34,,,,,1,13,0,2,0,94,1,0,0,27,0,0,0,0,0,0,0.83,0.411,0.12,0.04%,4.28
127,Jim Maloney,,257,20,1969,Apr 30,CIN,,HOU,"W,10-0",SHO,W,4,9,0,0,0,5,13,0,0,1.42,31,,,,,7,6,2,3,0,95,0,0,0,26,0,0,0,0,0,0,0.36,0.227,0.31,0.12%,4.28
128,Bill Stoneman,,49,9,1969,Apr 17,MON,@,PHI,"W,7-0",SHO,W,3,9,0,0,0,5,8,0,0,2.5,31,,,,,9,9,1,2,0,90,1,0,0,26,0,0,0,1,0,0,0.76,0.354,0.95,0.27%,4
129,Ray Washburn,,174,153,1968,Sep 18,STL,@,SFG,"W,2-0",SHO,W,4,9,0,0,0,5,8,0,0,2.28,31,,,,,13,5,0,0,0,90,0,0,0,26,0,0,0,1,0,0,1.28,0.545,0,0.00%,3.45
130,Gaylord Perry,,246,153,1968,Sep 17,SFG,,STL,"W,1-0",SHO,W,3,9,0,0,0,2,9,0,0,2.46,29,,,,,10,8,0,0,0,94,0,0,0,27,0,0,0,0,0,0,1.07,0.656,0,0.00%,3.45
131,George Culver,,85,99,1968,Jul 29(2),CIN,@,PHI,"W,6-1",CG,W,3,9,0,1,0,5,4,0,0,2.84,34,,,,,15,9,0,4,0,84,0,0,0,27,0,0,0,0,1,1,0.62,0.076,0.2,0.02%,2.42
132,Catfish Hunter,Y,103,25,1968,May 8,OAK,,MIN,"W,4-0",SHO,W,4,9,0,0,0,0,11,0,0,2.36,27,,,,,7,9,0,0,0,98,0,0,0,27,0,0,0,0,0,0,0.79,0.489,1.75,0.65%,3.21
133,Tom Phoebus,,40,13,1968,Apr 27,BAL,,BOS,"W,6-0",SHO,W,6,9,0,0,0,3,9,0,0,1.52,29,,,,,5,12,1,0,0,93,0,1,0,26,0,0,0,0,0,0,0.44,0.218,1.12,0.34%,3.42
134,Joe Horlen,,191,142,1967,Sep 10(1),CHW,,DET,"W,6-0",SHO,W,3,9,0,0,0,0,4,0,1,2.21,28,,,,,17,6,2,0,0,91,0,0,0,27,0,0,0,1,0,1,0.29,0.146,2.05,0.61%,3.47
135,Dean Chance,,254,128,1967,Aug 25(2),MIN,@,CLE,"W,2-1",CG,W,2,9,0,1,1,5,8,0,0,2.46,31,,,,,14,4,0,0,0,86,0,0,0,25,0,0,0,2,0,1,1.52,0.62,10.76,2.64%,2.76
136,Don Wilson,,15,64,1967,Jun 18,HOU,,ATL,"W,2-0",SHO,W,3,9,0,0,0,3,15,0,0,3.12,30,,,,,4,8,0,1,0,99,0,0,0,27,0,0,0,0,0,0,0.94,0.489,0.05,0.02%,3.69
137,Sonny Siebert,,93,50,1966,Jun 10,CLE,,WSA,"W,2-0",SHO,W,4,9,0,0,0,1,7,0,0,3.02,29,,,,,13,8,2,0,0,93,0,0,0,28,0,0,0,0,0,1,0.83,0.506,3.51,1.29%,3.9
138,Dave Morehead,,93,149,1965,Sep 16,BOS,,CLE,"W,2-0",SHO,W,5,9,0,0,0,1,8,0,0,4.06,28,,,,,12,7,2,0,0,94,0,0,0,27,0,0,0,0,0,0,0.92,0.576,0,0.00%,4.19
139,Sandy Koufax*,Y,349,141,1965,Sep 9,LAD,,CHC,"W,1-0",SHO,W,3,9,0,0,0,0,14,0,0,2.14,27,113,79,22,23,3,10,1,1,0,101,0,0,0,27,0,0,0,0,0,0,1.04,0.674,9.7,3.76%,3.75
140,Jim Maloney,,148,118,1965,Aug 19(1),CIN,@,CHC,"W,1-0",SHO(10),W,5,10,0,0,0,10,12,0,1,2.71,40,,,,,9,8,0,5,0,94,0,0,0,28,0,0,1,1,0,0,2.05,0.841,6.61,1.63%,4.56
141,Jim Bunning,Y,319,60,1964,Jun 21(1),PHI,@,NYM,"W,6-0",SHO,W,2,9,0,0,0,0,10,0,0,2.07,27,89,68,18,15,6,11,1,4,0,97,0,0,0,27,0,0,0,0,0,0,0.45,0.293,2.21,0.87%,3.88
142,Sandy Koufax*,,296,48,1964,Jun 4,LAD,@,PHI,"W,3-0",SHO,W,3,9,0,0,0,1,12,0,0,2.34,27,97,68,13,21,7,7,1,0,0,98,0,1,0,26,0,0,0,0,0,0,0.71,0.463,0.76,0.30%,4
143,Ken Johnson,,140,9,1964,Apr 23,HOU,,CIN,"L,0-1",CG,L,4,9,0,1,0,2,9,0,0,1.69,31,,,,,14,6,0,3,0,92,0,0,0,29,0,0,0,0,0,2,1.16,0.181,2.31,0.22%,2.8
144,Juan Marichal,,93,63,1963,Jun 15,SFG,,HOU,"W,1-0",SHO,W,3,9,0,0,0,2,5,0,0,2.52,29,,,,,8,14,0,4,0,90,0,0,0,27,0,0,0,0,0,0,1.07,0.649,4.58,1.67%,3.78
145,Don Nottebart,,90,37,1963,May 17,HOU,,PHI,"W,4-1",CG,W,4,9,0,1,0,3,8,0,0,2.73,31,105,67,26,9,8,12,1,1,0,90,0,0,0,26,0,0,0,0,1,1,0.85,0.257,0.72,0.13%,2.59
146,Sandy Koufax*,,250,31,1963,May 11,LAD,,SFG,"W,8-0",SHO,W,3,9,0,0,0,2,4,0,0,1.15,28,111,72,17,11,7,15,3,0,0,89,0,0,0,26,0,0,0,1,0,0,0.58,0.37,1.23,0.47%,3.51
147,Jack Kralick*,,106,134,1962,Aug 26,MIN,,KCA,"W,1-0",SHO,W,4,9,0,0,0,1,3,0,0,4.02,28,,,,,14,10,1,0,0,89,0,0,0,27,0,0,0,0,0,0,1.22,0.736,4.98,1.81%,4.63
148,Bill Monbouquette,,134,103,1962,Aug 1,BOS,@,CHW,"W,1-0",SHO,W,4,9,0,0,0,1,7,0,0,4.29,28,,,,,8,12,1,0,0,93,0,0,0,27,0,0,0,0,0,0,1.14,0.779,0.02,0.01%,4.45
149,Sandy Koufax*,,236,80,1962,Jun 30,LAD,,NYM,"W,5-0",SHO,W,3,9,0,0,0,5,13,0,0,2.33,30,138,80,24,20,7,5,1,0,0,95,0,0,0,25,0,0,0,2,0,0,0.48,0.249,2.4,0.74%,4.25
150,Earl Wilson,,33,71,1962,Jun 26,BOS,,LAA,"W,2-0",SHO,W,4,9,0,0,0,4,5,0,0,3.16,31,,,,,8,14,1,0,0,88,0,0,0,27,0,0,0,0,0,0,1.07,0.566,0.57,0.18%,4.58
151,Bo Belinsky*,,4,19,1962,May 5,LAA,,BAL,"W,2-0",SHO,W,3,9,0,0,0,4,9,0,2,1.53,34,,,,,10,9,1,0,0,92,0,0,0,28,0,0,0,0,0,1,1.24,0.537,2.52,0.66%,4.32
152,Warren Spahn*,,574,10,1961,Apr 28,MLN,,SFG,"W,1-0",SHO,W,4,9,0,0,0,2,5,0,0,0.96,27,,,,,10,10,0,3,0,90,0,0,0,25,0,0,0,2,0,0,1.23,0.723,3.71,1.31%,4.2
153,Warren Spahn*,,568,142,1960,Sep 16,MLN,,PHI,"W,4-0",SHO,W,3,9,0,0,0,2,15,0,0,3.46,29,,,,,5,7,0,0,0,100,0,0,0,27,0,0,0,0,0,0,0.63,0.368,0.89,0.32%,3.91
154,Lew Burdette,,366,112,1960,Aug 18,MLN,,PHI,"W,1-0",SHO,W,3,9,0,0,0,0,3,0,1,3.6,27,,,,,18,5,0,0,0,90,0,0,0,26,0,0,0,0,0,0,1.05,0.662,2.17,0.82%,3.91
155,Don Cardwell,,77,23,1960,May 15(2),CHC,,STL,"W,4-0",SHO,W,8,9,0,0,0,1,7,0,0,3.38,28,,,,,11,9,2,0,0,93,0,0,0,27,0,0,0,0,0,0,0.67,0.425,0.7,0.27%,4.17
156,Hoyt Wilhelm,,399,147,1958,Sep 20,BAL,,NYY,"W,1-0",SHO,W,3,9,0,0,0,2,8,0,0,2.43,28,,,,,6,12,2,0,0,93,0,1,0,26,0,0,0,0,0,0,1.11,0.68,0,0.00%,3.96
157,Jim Bunning,,95,86,1958,Jul 20(1),DET,@,BOS,"W,3-0",SHO,W,3,9,0,0,0,2,12,0,1,3.28,30,,,,,5,10,1,1,0,97,0,0,0,27,0,0,0,0,0,0,0.77,0.465,0.32,0.12%,4.46
158,Bob Keegan,,114,119,1957,Aug 20(2),CHW,,WSH,"W,6-0",SHO,W,3,9,0,0,0,2,1,0,0,3.44,28,,,,,13,12,0,0,0,86,0,0,0,26,0,0,0,1,0,0,0.34,0.221,0.52,0.21%,4.25
159,Don Larsen,Y,,,1956,Oct 8,NYY,,BRO,"W,2-0",SHO,W,2,9,0,0,0,0,7,0,0,---,27,,,,,6,14,4,3,0,94,0,0,0,27,0,0,0,0,0,0,0.85,0.586,70.52,26.74%,4.56
160,Sal Maglie,,260,150,1956,Sep 25,BRO,,PHI,"W,5-0",SHO,W,3,9,0,0,0,2,3,0,1,2.94,29,110,71,24,8,14,9,2,0,0,88,0,0,0,26,0,0,0,1,0,0,0.39,0.255,8.98,3.50%,4.68
161,Mel Parnell*,,275,79,1956,Jul 14,BOS,,CHW,"W,4-0",SHO,W,9,9,0,0,0,2,4,0,0,3.14,28,,,,,15,7,1,0,0,89,0,1,0,26,0,0,0,1,0,1,0.76,0.468,0.95,0.35%,5.26
162,Carl Erskine,,253,20,1956,May 12,BRO,,NYG,"W,3-0",SHO,W,4,9,0,0,0,2,3,0,0,1.72,29,102,66,21,7,10,14,2,0,0,88,0,0,0,27,0,0,0,0,0,0,0.87,0.547,2.22,0.84%,4.68
163,Sam Jones,,24,28,1955,May 12,CHC,,PIT,"W,4-0",SHO,W,3,9,0,0,0,7,6,0,0,4.22,31,,,,,10,8,2,1,0,86,0,1,0,24,0,0,0,1,0,0,0.96,0.404,1.51,0.38%,4.57
164,Jim Wilson,,111,51,1954,Jun 12,MLN,,PHI,"W,2-0",SHO,W,5,9,0,0,0,2,6,0,0,2.36,28,,,,,8,12,1,3,0,91,0,1,0,26,0,0,0,0,0,0,0.87,0.557,1.81,0.70%,4.31
165,Bobo Holloman,,5,19,1953,May 6,SLB,,PHA,"W,6-0",SHO,W,4,9,0,0,0,5,3,0,0,3.14,31,,,,,12,11,2,1,0,85,0,0,0,26,0,0,0,1,0,1,0.62,0.36,1.43,0.50%,4.58
166,Virgil Trucks,,287,125,1952,Aug 25,DET,@,NYY,"W,1-0",SHO,W,5,9,0,0,0,1,8,0,0,3.35,30,,,,,8,13,2,4,0,94,0,0,0,28,0,0,0,0,0,1,1.27,0.746,0,0.00%,3.93
167,Carl Erskine,,119,56,1952,Jun 19,BRO,,CHC,"W,5-0",SHO,W,4,9,0,0,0,1,1,0,0,2.62,28,103,63,17,7,18,8,1,0,0,87,0,0,0,27,0,0,0,0,0,0,0.4,0.27,2.41,0.97%,4.29
168,Virgil Trucks,,265,26,1952,May 15,DET,,WSH,"W,1-0",SHO,W,5,9,0,0,0,1,7,0,2,5.54,31,,,,,9,12,0,1,0,93,0,0,0,28,0,0,0,0,0,1,1.1,0.661,0.52,0.19%,4.18
169,Allie Reynolds,,322,150,1951,Sep 28(1),NYY,,BOS,"W,8-0",SHO,W,6,9,0,0,0,4,9,0,0,3.05,30,,,,,7,10,0,2,0,92,0,0,0,26,0,0,0,1,0,0,0.35,0.234,0.82,0.33%,4.46
170,Allie Reynolds,,304,75,1951,Jul 12,NYY,@,CLE,"W,1-0",SHO,W,3,9,0,0,0,3,4,0,0,3.33,29,,,,,10,12,1,0,0,88,0,0,0,26,0,0,0,1,0,1,1.37,0.792,6.97,2.42%,4.37
171,Bob Feller,,433,68,1951,Jul 1(1),CLE,,DET,"W,2-1",CG,W,4,9,0,1,0,3,5,0,0,2.75,31,,,,,14,9,0,0,0,87,1,0,0,28,0,0,0,0,0,1,1.14,0.576,1.81,0.55%,3.37
172,Cliff Chambers*,,105,18,1951,May 6(2),PIT,@,BSN,"W,3-0",SHO,W,4,9,0,0,0,8,4,0,0,3.03,34,,,,,11,11,0,0,0,83,0,0,0,24,0,0,0,1,0,0,1.32,0.526,3.79,0.91%,4.17
173,Vern Bickford,,98,107,1950,Aug 11,BSN,,BRO,"W,7-0",SHO,W,3,9,0,0,0,4,3,0,0,3.19,30,97,55,15,4,12,11,0,0,0,86,0,0,0,26,0,0,0,1,0,0,0.37,0.231,1.1,0.42%,4.43
174,Rex Barney,,91,132,1948,Sep 9,BRO,@,NYG,"W,2-0",SHO,W,2,9,0,0,0,2,4,0,0,3.22,29,116,75,19,13,11,12,2,0,0,89,0,0,0,27,0,0,0,2,0,2,1.09,0.627,5.28,1.83%,4.56
175,Bob Lemon,,88,62,1948,Jun 30,CLE,@,DET,"W,2-0",SHO,W,4,9,0,0,0,3,4,0,0,2.38,30,,,,,14,9,0,0,0,88,0,0,0,27,0,0,0,0,0,0,1.01,0.663,4.86,1.92%,4.93
176,Bill McCahan,,29,132,1947,Sep 3,PHA,,WSH,"W,3-0",SHO,W,3,9,0,0,0,0,2,0,0,3.14,28,,,,,11,15,1,0,0,89,0,0,0,28,0,0,0,0,0,1,0.82,0.522,0,0.00%,4.23
177,Don Black,,122,65,1947,Jul 10(1),CLE,,PHA,"W,3-0",SHO,W,5,9,0,0,0,6,5,0,0,3.51,32,,,,,11,10,1,0,0,86,0,0,0,26,0,0,0,1,0,0,0.85,0.371,0.92,0.24%,4.06
178,Ewell Blackwell,,49,57,1947,Jun 18,CIN,,BSN,"W,6-0",SHO,W,3,9,0,0,0,4,3,0,0,2.28,30,,,,,9,14,2,2,0,86,0,0,0,25,0,0,0,0,0,0,0.76,0.376,1.2,0.36%,4.65
179,Bob Feller,,218,10,1946,Apr 30,CLE,@,NYY,"W,1-0",SHO,W,3,9,0,0,0,5,11,0,0,1.46,32,,,,,11,5,0,0,0,93,1,1,0,25,0,0,0,0,0,1,1.61,0.715,3.77,1.01%,4.14
180,Ed Head,,106,7,1946,Apr 23,BRO,,BSN,"W,5-0",SHO,W,99,9,0,0,0,3,1,0,0,0,29,,,,,19,6,2,0,0,85,0,0,0,25,0,0,0,1,0,1,0.67,0.312,2.33,0.65%,4.03
181,Dick Fowler,,39,137,1945,Sep 9(2),PHA,,SLB,"W,1-0",SHO,W,3,9,0,0,0,4,6,0,0,4.79,29,,,,,11,8,0,1,0,89,0,0,0,24,0,0,0,2,0,0,1.31,0.632,0,0.00%,3.84
182,Clyde Shoun*,,305,22,1944,May 15,CIN,,BSN,"W,1-0",SHO,W,1,9,0,0,0,1,1,0,0,2.02,28,,,,,7,19,2,0,0,87,0,0,0,27,0,0,0,0,0,0,1.06,0.706,2.79,1.12%,4.1
183,Jim Tobin,,206,8,1944,Apr 27,BSN,,BRO,"W,2-0",SHO,W,3,9,0,0,0,2,6,0,0,0.69,29,,,,,10,11,0,0,0,91,0,0,0,27,0,0,0,0,0,0,1.03,0.651,1.5,0.57%,4.44
184,Lon Warneke,,382,126,1941,Aug 30,STL,@,CIN,"W,2-0",SHO,W,7,9,0,0,0,1,2,0,0,3.24,28,,,,,10,15,1,0,0,88,0,1,0,27,0,0,0,1,0,2,1.01,0.595,8.39,2.97%,4.27
185,Tex Carleton,,261,9,1940,Apr 30,BRO,@,CIN,"W,3-0",SHO,W,6,9,0,0,0,2,4,0,0,1.5,30,,,,,12,12,1,0,0,89,0,1,0,28,0,0,0,0,0,2,0.86,0.463,3.96,1.27%,4.44
186,Bob Feller,,119,1,1940,Apr 16,CLE,@,CHW,"W,1-0",SHO,W,99,9,0,0,0,5,8,0,0,0,33,,,,,7,13,1,0,0,90,1,0,0,28,0,0,0,0,0,1,1.44,0.888,3.93,1.46%,5.1
187,Monte Pearson,,174,122,1938,Aug 27(2),NYY,,CLE,"W,13-0",SHO,W,2,9,0,0,0,2,7,0,0,3.76,29,,,,,9,11,0,4,0,92,0,0,0,27,0,0,0,0,0,0,0.26,0.14,0.07,0.02%,5.51
188,Johnny Vander Meer*,,32,48,1938,Jun 15,CIN,@,BRO,"W,6-0",SHO,W,3,9,0,0,0,8,7,0,0,2.23,35,,,,,13,7,0,0,0,86,0,0,0,27,0,0,0,0,0,0,0.5,0.289,1.23,0.43%,4.58
189,Johnny Vander Meer*,,31,45,1938,Jun 11,CIN,,BSN,"W,3-0",SHO,W,5,9,0,0,0,3,4,0,0,2.47,28,,,,,11,10,3,0,0,88,0,0,0,25,0,0,0,0,0,0,0.83,0.476,2.17,0.75%,4.36
190,Bill Dietrich,,137,36,1937,Jun 1,CHW,,SLB,"W,8-0",SHO,W,2,9,0,0,0,2,5,0,0,6.48,29,,,,,11,11,2,1,0,90,0,0,0,27,0,0,0,1,0,1,0.42,0.295,1,0.42%,5.34
191,Vern Kennedy,,28,123,1935,Aug 31,CHW,,CLE,"W,5-0",SHO,W,3,9,0,0,0,4,5,0,0,3.89,30,,,,,8,13,1,1,0,88,1,0,0,26,0,0,0,1,0,0,0.68,0.414,0,0.00%,5.23
192,Paul Dean,,36,145,1934,Sep 21(2),STL,@,BRO,"W,3-0",SHO,W,4,9,0,0,0,1,6,0,0,3.55,28,,,,,10,11,1,1,0,92,0,0,0,27,0,0,0,0,0,0,0.84,0.579,5.43,2.23%,4.5
193,Bobby Burke*,,147,106,1931,Aug 8,WSH,,BOS,"W,5-0",SHO,W,12,9,0,0,0,5,8,0,0,3.66,31,,,,,13,5,1,0,0,90,0,1,0,26,0,0,0,0,0,0,0.78,0.535,0.31,0.13%,5.24
194,Wes Ferrell,,94,12,1931,Apr 29,CLE,,SLB,"W,9-0",SHO,W,5,9,0,0,0,3,8,0,0,2.32,32,,,,,14,7,1,4,0,92,0,0,0,29,0,0,0,0,0,3,0.58,0.358,1.94,0.72%,5.45
195,Carl Hubbell*,,25,13,1929,May 8,NYG,,PIT,"W,11-0",SHO,W,3,9,0,0,0,1,4,0,0,3.67,30,,,,,17,8,3,1,0,90,0,0,0,28,0,0,0,1,0,3,0.36,0.208,0.76,0.26%,5.44
196,Ted Lyons,,127,121,1926,Aug 21,CHW,@,BOS,"W,6-0",SHO,W,4,9,0,0,0,1,2,0,0,3.26,29,,,,,13,13,1,1,0,88,0,0,0,27,0,0,0,0,0,1,0.56,0.331,0.01,0.00%,4.61
197,Dazzy Vance,,149,134,1925,Sep 13(1),BRO,,PHI,"W,10-1",CG,W,4,9,0,1,0,1,9,0,0,3.28,29,,,,,6,13,1,4,0,93,0,0,0,27,0,0,0,0,1,1,0.41,0.153,0,0.00%,3.99
198,Jesse Haines,,173,82,1924,Jul 17,STL,,BSN,"W,5-0",SHO,W,5,9,0,0,0,3,5,0,0,3.31,30,,,,,9,13,2,2,0,89,0,0,0,27,0,0,0,0,0,0,0.51,0.327,0,0.00%,4.48
199,Howard Ehmke,,242,125,1923,Sep 7,BOS,@,PHA,"W,4-0",SHO,W,3,9,0,0,0,1,1,0,0,3.54,28,,,,,,,,,,87,,,,27,0,0,,,0,,,,,,
200,Sad Sam Jones,,284,125,1923,Sep 4,NYY,@,PHA,"W,2-0",SHO,W,3,9,0,0,0,1,0,0,0,3.86,29,,,,,15,13,0,2,0,86,0,0,0,28,0,0,0,0,0,1,1.03,0.653,0.01,0.01%,4.86
201,Jesse Barnes,,229,20,1922,May 7,NYG,,PHI,"W,6-0",SHO,W,5,9,0,0,0,1,5,0,0,1.93,27,,,,,15,6,1,2,0,91,0,0,0,26,0,0,0,1,0,0,0.36,0.23,1.69,0.64%,5.15
