Rk,Name,Prfct,Gcar,Gtm,Year,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24
24,Homer Bailey,,128,84,2013,Jul 2,CIN,,SFG,"W,3-0",SHO,W,5,9,0,0,0,1,9,0,0,3.57,28,109,74,17,16,8,10,3,3,0,95,0,0,0,27,0,0,0,0,0,0,0.77,0.461,0.92,0.33%,4.03
25,Homer Bailey,,110,157,2012,Sep 28,CIN,@,PIT,"W,1-0",SHO,W,4,9,0,0,0,1,10,0,0,3.75,28,115,74,20,15,11,7,2,2,0,96,1,1,0,27,0,0,0,0,0,1,1.37,0.799,0.29,0.10%,4.07
26,Felix Hernandez,Y,230,119,2012,Aug 15,SEA,,TBR,"W,1-0",SHO,W,4,9,0,0,0,0,12,0,0,2.6,27,113,77,18,24,8,7,2,0,0,99,0,0,0,27,0,0,0,0,0,0,1.07,0.712,0.03,0.01%,4.1
27,Matt Cain,Y,217,63,2012,Jun 13,SFG,,HOU,"W,10-0",SHO,W,5,9,0,0,0,0,14,0,0,2.18,27,125,86,29,14,6,7,0,1,0,101,0,0,0,27,0,0,0,0,0,0,0.19,0.124,0.23,0.09%,3.81
28,Johan Santana*,,350,52,2012,Jun 1,NYM,,STL,"W,8-0",SHO,W,5,9,0,0,0,5,8,0,0,2.38,32,134,77,21,18,3,16,5,4,0,90,0,0,0,27,0,0,0,0,0,0,0.77,0.339,0.89,0.24%,4.07
29,Jered Weaver,,183,25,2012,May 2,LAA,,MIN,"W,9-0",SHO,W,4,9,0,0,0,1,9,0,0,1.61,29,121,77,25,10,5,14,0,5,0,95,0,0,0,28,0,0,0,0,0,0,0.25,0.161,0.17,0.06%,4.19
30,Philip Humber,Y,56,14,2012,Apr 21,CHW,@,SEA,"W,4-0",SHO,W,4,9,0,0,0,0,9,0,0,0.63,27,96,67,23,14,5,13,3,5,0,96,0,0,0,27,0,0,0,0,0,0,0.6,0.399,0.61,0.24%,4.1
31,Ervin Santana,,195,105,2011,Jul 27,LAA,@,CLE,"W,3-1",CG,W,4,9,0,1,0,1,10,0,0,3.47,29,105,76,25,13,13,5,0,1,0,94,1,0,0,28,0,0,0,0,0,1,1.14,0.544,1.76,0.50%,3.24
32,Justin Verlander,,173,34,2011,May 7,DET,@,TOR,"W,9-0",SHO,W,4,9,0,0,0,1,4,0,0,3.16,27,108,74,15,11,12,10,3,6,0,90,0,0,0,26,0,0,0,1,0,0,0.3,0.204,0.27,0.11%,4.69
33,Francisco Liriano*,,114,28,2011,May 3,MIN,@,CHW,"W,1-0",SHO,W,5,9,0,0,0,6,2,0,0,6.61,30,123,66,23,12,9,13,3,5,0,83,1,0,0,24,0,0,0,3,0,0,1.66,0.858,0.89,0.28%,4.78
